run,model,quantization,dataset,metric_name,latency,tokens_per_sec,model_size_gb,metric_value
0,phi2,q2,mbpp,code_validity,3.716532079378764,14.287512892630788,1.0930097997188568,1.0
0,phi2,q2,cnn_dm,rougeL,4.559398158391317,17.61928450698791,1.0930097997188568,0.1795437988568451
0,phi2,q2,triviaqa,accuracy,3.2043093760808308,22.937860042059157,1.0930097997188568,0.3333333333333333
1,tinyllama,q8,gsm8k,accuracy,0.7030143022537232,34.09129314984678,1.090375304222107,0.0
1,tinyllama,q8,mbpp,code_validity,1.9060968240102132,27.718074269793885,1.090375304222107,1.0
1,tinyllama,q8,cnn_dm,rougeL,2.3930845737457274,32.566058963536655,1.090375304222107,0.1867554527040759
1,tinyllama,q8,triviaqa,accuracy,1.0548568487167358,40.163427595134785,1.090375304222107,0.3
1,tinyllama,q6,gsm8k,accuracy,0.780108896891276,31.320413638018813,0.8422750234603882,0.0
1,tinyllama,q6,mbpp,code_validity,2.118208122253418,26.516122791047913,0.8422750234603882,1.0
1,tinyllama,q6,cnn_dm,rougeL,2.7116641283035277,28.51877285470256,0.8422750234603882,0.1864971853441055
1,tinyllama,q6,triviaqa,accuracy,1.3709967692693077,35.69179332159408,0.8422750234603882,0.3
1,tinyllama,q4,gsm8k,accuracy,0.905393918355306,46.499097405554465,0.6228574514389038,0.0
1,tinyllama,q4,mbpp,code_validity,1.4951340834299722,32.05955496872223,0.6228574514389038,1.0
1,tinyllama,q4,cnn_dm,rougeL,2.036266795794169,39.17299384904849,0.6228574514389038,0.1846904783410358
1,tinyllama,q4,triviaqa,accuracy,0.9339463313420614,50.18132744235982,0.6228574514389038,0.2666666666666666
1,tinyllama,q2,gsm8k,accuracy,0.5638292074203491,37.77739733890782,0.4499372243881225,0.0
1,tinyllama,q2,mbpp,code_validity,1.6511454264322916,29.07072825421313,0.4499372243881225,1.0
1,tinyllama,q2,cnn_dm,rougeL,2.4198400259017943,32.34373587877953,0.4499372243881225,0.1843326431109507
1,tinyllama,q2,triviaqa,accuracy,1.0739887952804563,41.65158289351787,0.4499372243881225,0.2
1,phi2,q8,gsm8k,accuracy,5.382141494750977,15.594783863484585,2.754882663488388,0.0333333333333333
1,phi2,q8,mbpp,code_validity,4.236978999773661,12.32796606641752,2.754882663488388,1.0
1,phi2,q8,cnn_dm,rougeL,5.136855920155843,15.113005803553486,2.754882663488388,0.1970630495255357
1,phi2,q8,triviaqa,accuracy,3.940257922808329,20.1763441778294,2.754882663488388,0.3333333333333333
1,phi2,q6,gsm8k,accuracy,4.9336724837621055,16.566428680123632,2.128127902746201,0.0333333333333333
1,phi2,q6,mbpp,code_validity,5.087714290618896,10.351734326704891,2.128127902746201,1.0
1,phi2,q6,cnn_dm,rougeL,5.512722086906433,14.034204055093662,2.128127902746201,0.1917048145359778
1,phi2,q6,triviaqa,accuracy,4.564843964576721,16.02829521325185,2.128127902746201,0.2666666666666666
1,phi2,q4,gsm8k,accuracy,3.839771803220113,19.10703823730875,1.6663587987422943,0.1
1,phi2,q4,mbpp,code_validity,4.123114172617594,12.401629252209355,1.6663587987422943,1.0
1,phi2,q4,cnn_dm,rougeL,5.034647885958353,15.644920648045142,1.6663587987422943,0.1966786229401852
1,phi2,q4,triviaqa,accuracy,4.130570634206136,18.883589437755976,1.6663587987422943,0.3333333333333333
1,phi2,q2,gsm8k,accuracy,2.6896721283594767,20.807988481779248,1.0930097997188568,0.0333333333333333
1,phi2,q2,mbpp,code_validity,3.527863065401713,15.051604616052062,1.0930097997188568,1.0
1,phi2,q2,cnn_dm,rougeL,4.828859472274781,16.636088458273125,1.0930097997188568,0.1795437988568451
1,phi2,q2,triviaqa,accuracy,3.7742376883824664,19.474131220257107,1.0930097997188568,0.3333333333333333
0,phi3mini,q8,gsm8k,accuracy,13.777159523963928,4.991353010542865,3.782307147979736,0.1333333333333333
0,phi3mini,q8,mbpp,code_validity,20.72308795452118,2.25995920280383,3.782307147979736,1.0
0,phi3mini,q8,cnn_dm,rougeL,41.94392192363739,1.789691169159912,3.782307147979736,0.190424619712156
0,phi3mini,q8,triviaqa,accuracy,45.764407618840536,1.643198369928015,3.782307147979736,0.4666666666666667
0,phi3mini,q6,gsm8k,accuracy,48.30619095961253,1.438738981885511,2.92048978805542,0.1666666666666666
0,phi3mini,q6,mbpp,code_validity,75.15142335096995,0.6648798444350658,2.92048978805542,1.0
0,phi3mini,q6,cnn_dm,rougeL,71.76604323387146,1.0315927978929147,2.92048978805542,0.1901692078026083
0,phi3mini,q6,triviaqa,accuracy,14.59211583137512,4.993564162230194,2.92048978805542,0.4666666666666667
0,phi3mini,q4,gsm8k,accuracy,12.577667760849,5.419658712790278,2.228870391845703,0.1
0,phi3mini,q4,mbpp,code_validity,12.82846004962921,3.874198446869429,2.228870391845703,1.0
0,phi3mini,q4,cnn_dm,rougeL,17.267774081230165,4.437939306643624,2.228870391845703,0.1972289726752262
0,phi3mini,q4,triviaqa,accuracy,12.40656685034434,5.975330180184036,2.228870391845703,0.5
0,qwen2_7b,q4,gsm8k,accuracy,21.095312198003132,3.0891539340591176,4.361449986696243,0.4
0,qwen2_7b,q4,mbpp,code_validity,21.782520016034443,3.1171783590703823,4.361449986696243,1.0
0,qwen2_7b,q4,cnn_dm,rougeL,18.2898619333903,5.15950678087893,4.361449986696243,0.1879359747862331
0,qwen2_7b,q4,triviaqa,accuracy,12.731088511149087,7.087636949056841,4.361449986696243,0.5
0,qwen2_7b,q2,gsm8k,accuracy,10.620244042078657,7.127896468298441,2.808810979127884,0.1333333333333333
0,qwen2_7b,q2,mbpp,code_validity,10.603890291849773,6.26499628955936,2.808810979127884,1.0
0,qwen2_7b,q2,cnn_dm,rougeL,14.3633944829305,6.757919709162132,2.808810979127884,0.177691358591593
0,qwen2_7b,q2,triviaqa,accuracy,12.006913153330483,7.1847497824816005,2.808810979127884,0.5333333333333333
1,phi3mini,q8,gsm8k,accuracy,9.231341648101807,7.44926027960484,3.782307147979736,0.1333333333333333
1,phi3mini,q8,mbpp,code_validity,10.445479106903075,4.483598392569922,3.782307147979736,1.0
1,phi3mini,q8,cnn_dm,rougeL,12.738407111167907,5.892939832395124,3.782307147979736,0.190424619712156
1,phi3mini,q8,triviaqa,accuracy,6.8476194620132445,10.981918667818425,3.782307147979736,0.4666666666666667
1,phi3mini,q6,gsm8k,accuracy,11.151584800084432,6.232298031708802,2.92048978805542,0.1666666666666666
1,phi3mini,q6,mbpp,code_validity,10.836864527066547,4.610804771238774,2.92048978805542,1.0
1,phi3mini,q6,cnn_dm,rougeL,12.577998526891072,5.8859391003309565,2.92048978805542,0.1901692078026083
1,phi3mini,q6,triviaqa,accuracy,11.302033495903014,6.4472173696070545,2.92048978805542,0.4666666666666667
1,phi3mini,q4,gsm8k,accuracy,8.137482746442158,8.376873879882604,2.228870391845703,0.1
1,phi3mini,q4,mbpp,code_validity,7.228421640396118,6.875636545916327,2.228870391845703,1.0
1,phi3mini,q4,cnn_dm,rougeL,7.0495774984359745,10.87062782845288,2.228870391845703,0.1972289726752262
1,phi3mini,q4,triviaqa,accuracy,5.0761100133260095,14.604359073919891,2.228870391845703,0.5
1,qwen2_7b,q4,gsm8k,accuracy,9.068476804097491,7.186065319946765,4.361449986696243,0.4
1,qwen2_7b,q4,mbpp,code_validity,9.365465871493022,7.250039766486869,4.361449986696243,1.0
1,qwen2_7b,q4,cnn_dm,rougeL,12.238814600308736,7.710441717475332,4.361449986696243,0.1879359747862331
1,qwen2_7b,q4,triviaqa,accuracy,9.956436562538148,9.06281406671571,4.361449986696243,0.5
1,qwen2_7b,q2,gsm8k,accuracy,8.80261952082316,8.599712826497477,2.808810979127884,0.1333333333333333
1,qwen2_7b,q2,mbpp,code_validity,8.431859914461771,7.878846898226008,2.808810979127884,1.0
1,qwen2_7b,q2,cnn_dm,rougeL,11.086156098047892,8.755664795641716,2.808810979127884,0.177691358591593
1,qwen2_7b,q2,triviaqa,accuracy,7.832955845197042,11.013296687937167,2.808810979127884,0.5333333333333333
